Last,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
140.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,18.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,-P4,P5,0.25735294117647056,52.0,4.0
144.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,19.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G3,P1,P8,0.2647058823529412,4.0,52.0
196.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,25.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.3602941176470588,52.0,74.0
270.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,34.0,4.0,C1u-3,^C1(t1|t2)?u-(1|2|3|4)$,Evaded Authentic,C,Cu,1.0,3.0,C4,P4,P4,0.4963235294117647,74.0,52.0
322.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,41.0,2.0,C1u-3,^C1(t1|t2)?u-(1|2|3|4)$,Evaded Authentic,G,Cu,1.0,4.0,B3,M3,P8,0.5919117647058824,52.0,26.0
348.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,44.0,3.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C3,-P5,P4,0.6397058823529411,26.0,56.0
404.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,50.0,3.0,BC2,^BC(2|4)x?z?$,Authentic,A,TCB,0.0,4.0,A3,M2,M2,0.7426470588235294,56.0,16.0
420.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,52.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,A,CT,0.0,3.0,A3,M2,M2,0.7720588235294118,16.0,16.0
436.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,54.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,A,CT,0.0,4.0,F3,-M2,M2,0.8014705882352942,16.0,16.0
452.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,56.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,QCT,0.0,4.0,D3,-P4,P5,0.8308823529411765,16.0,8.0
460.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,57.0,3.0,C1b,^C(1|3)b$,Evaded Authentic,D,Czb,1.0,3.0,B-3,m3,P5,0.8455882352941176,8.0,4.0
464.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,58.0,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,3.0,A3,M2,M2,0.8529411764705882,4.0,36.0
500.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,62.0,3.0,T-2c5,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,cT,-1.0,4.0,D3,-P4,,0.9191176470588235,36.0,6.0
506.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,63.0,2.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,CT,1.0,4.0,C3,-P5,M6,0.9301470588235294,6.0,38.0
544.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,68.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,1.0,38.0,16.0
32.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,5.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.04040404040404041,32.0,44.0
76.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,10.0,3.0,C1T-2u-3,^C1T-2u-3$,Clausula Vera,G,TCu,1.0,4.0,G3,P1,P8,0.09595959595959595,44.0,40.0
116.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,15.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,Ct,1.0,4.0,C3,-P5,P4,0.14646464646464646,40.0,44.0
160.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,21.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,3.0,G3,P1,P8,0.20202020202020202,44.0,76.0
236.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,30.0,3.0,BC2,^BC(2|4)x?z?$,Authentic,G,tCB,0.0,4.0,G3,P1,P8,0.29797979797979796,76.0,12.0
248.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,32.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,4.0,D3,-P4,P5,0.31313131313131315,12.0,12.0
260.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,33.0,3.0,C2b,^C(2|4)b$,Evaded Authentic,D,Cb,1.0,4.0,B-3,m3,P5,0.3282828282828283,12.0,12.0
272.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,35.0,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,CT,1.0,3.0,E3,-m3,M6,0.3434343434343434,12.0,4.0
276.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,35.0,3.0,C2b,^C(2|4)b$,Evaded Authentic,A,Cb,1.0,3.0,F4,m7,M2,0.3484848484848485,4.0,56.0
332.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,42.0,3.0,T-1c-2,T-1c-2,,,Tc,,4.0,C3,-P5,,0.41919191919191917,56.0,52.0
384.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,48.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,C,Cb,1.0,4.0,A3,M2,P4,0.48484848484848486,52.0,28.0
412.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,51.0,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,C,zC,1.0,3.0,F3,-M2,P4,0.5202020202020202,28.0,20.0
432.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,54.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.5454545454545454,20.0,32.0
464.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,58.0,1.0,C1T-2x,^C(1|3)T-2x?z?$,Clausula Vera,C,CTx,1.0,3.0,C4,P4,P4,0.5858585858585859,32.0,36.0
500.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,62.0,3.0,Bc5,^Bc5z?$,Evaded Authentic,,cTB,-1.0,4.0,C3,-P5,,0.6313131313131313,36.0,16.0
516.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,64.0,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,3.0,G3,P1,P8,0.6515151515151515,16.0,28.0
544.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,68.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A3,M2,M2,0.6868686868686869,28.0,24.0
568.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,71.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CzB,1.0,3.0,D3,-P4,P5,0.7171717171717171,24.0,44.0
612.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,76.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P1,P8,0.7727272727272727,44.0,4.0
616.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,77.0,1.0,c-2x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,3.0,D4,P5,,0.7777777777777778,4.0,8.0
624.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,78.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,3.0,A4,M9,P4,0.7878787878787878,8.0,40.0
664.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,83.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,CtB,1.0,4.0,F3,-M2,m7,0.8383838383838383,40.0,48.0
712.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,89.0,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,A,CT,0.0,3.0,A3,M2,M2,0.898989898989899,48.0,8.0
720.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,90.0,1.0,C2x,^C(2|4)xz?$,Abandoned Authentic,A,Cx,0.0,2.0,A4,M9,M2,0.9090909090909091,8.0,72.0
792.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,99.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,4.0,G3,P1,P8,1.0,72.0,16.0
48.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,7.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.03896103896103896,48.0,24.0
72.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,10.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,-P5,P4,0.05844155844155844,24.0,16.0
88.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,12.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C3,-P5,P4,0.07142857142857142,16.0,44.0
132.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,17.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P1,P8,0.10714285714285714,44.0,24.0
156.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,20.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,tTC,1.0,4.0,C4,P4,P4,0.1266233766233766,24.0,20.0
176.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,23.0,1.0,C1T-2x,^C(1|3)T-2x?z?$,Clausula Vera,G,CTx,1.0,2.0,G4,P8,P8,0.14285714285714285,20.0,20.0
196.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,25.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.1590909090909091,20.0,28.0
224.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,29.0,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,A,zC,1.0,2.0,F4,m7,M2,0.18181818181818182,28.0,56.0
280.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,36.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,tCB,1.0,4.0,C3,-P5,P4,0.22727272727272727,56.0,36.0
316.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,40.0,3.0,c-2x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,3.0,D4,P5,,0.2564935064935065,36.0,4.0
320.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,41.0,1.0,T-2c-1x,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tcx,-1.0,2.0,E4,M6,,0.2597402597402597,4.0,88.0
408.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,52.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,0.33116883116883117,88.0,56.0
464.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,59.0,1.0,Bc5,^Bc5z?$,Evaded Authentic,,cTB,-1.0,4.0,C3,-P5,,0.37662337662337664,56.0,32.0
496.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,63.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,A,CTb,1.0,4.0,F3,-M2,M2,0.4025974025974026,32.0,16.0
512.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,65.0,1.0,A1T-2,^A(1|3)T-2x?y?z?$,Altizans Only,G,AT,1.0,4.0,C3,-P5,P8,0.4155844155844156,16.0,16.0
528.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,67.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P1,P8,0.42857142857142855,16.0,48.0
576.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,72.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,G,TCb,1.0,3.0,E4,M6,P8,0.4675324675324675,48.0,24.0
600.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,75.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,-P5,P4,0.487012987012987,24.0,4.0
604.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,75.0,3.0,c-2x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,3.0,D3,-P4,,0.4902597402597403,4.0,20.0
624.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,78.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G3,P1,P8,0.5064935064935064,20.0,64.0
688.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,86.0,1.0,T-2c-1,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,B3,M3,,0.5584415584415584,64.0,36.0
724.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,90.0,3.0,C1t2x,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,Ctx,1.0,3.0,D4,P5,P5,0.5876623376623377,36.0,76.0
800.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,100.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CuTB,1.0,4.0,C3,-P5,P4,0.6493506493506493,76.0,32.0
832.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,104.0,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,CT,1.0,3.0,E3,-m3,M6,0.6753246753246753,32.0,4.0
836.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,104.0,3.0,C1x,^C(1|3)xz?$,Abandoned Authentic,A,Cxx,1.0,2.0,A4,M9,M2,0.6785714285714286,4.0,24.0
860.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,107.0,3.0,C1b,^C(1|3)b$,Evaded Authentic,C,zCb,1.0,2.0,A3,M2,P4,0.698051948051948,24.0,24.0
884.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,110.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,-P4,P5,0.7175324675324676,24.0,4.0
888.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,111.0,1.0,C2x,^C(2|4)xz?$,Abandoned Authentic,G,Cxx,0.0,2.0,G4,P8,P8,0.7207792207792207,4.0,24.0
912.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,114.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,4.0,A3,M2,M2,0.7402597402597403,24.0,58.0
970.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,121.0,2.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,TC,1.0,4.0,E3,-m3,M6,0.7873376623376623,58.0,6.0
976.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,122.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,-P5,P4,0.7922077922077922,6.0,24.0
1000.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,125.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,3.0,C4,P4,P4,0.8116883116883117,24.0,24.0
1024.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,128.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C4,P4,P4,0.8311688311688312,24.0,14.0
1038.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,129.0,4.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,TC,0.0,4.0,B3,M3,P5,0.8425324675324676,14.0,22.0
1060.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,132.0,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,4.0,D4,P5,P5,0.8603896103896104,22.0,11.0
1071.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,133.0,4.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G3,P1,,0.8693181818181818,11.0,65.0
1136.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,142.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,A,CuTB,1.0,4.0,A3,M2,M2,0.922077922077922,65.0,40.0
1176.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,147.0,1.0,C1u-4,^C1(t1|t2)?u-(1|2|3|4)$,Evaded Authentic,A,Cu,1.0,3.0,C4,P4,M2,0.9545454545454546,40.0,12.0
1188.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,148.0,3.0,C1b,^C(1|3)b$,Evaded Authentic,C,Cb,1.0,4.0,A3,M2,P4,0.9642857142857143,12.0,24.0
1212.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,151.0,3.0,Bc-1,^Bc(-1|-2|4|5)z?$,Evaded Authentic,,TBc,-1.0,4.0,E3,-m3,,0.9837662337662337,24.0,8.0
1220.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,152.0,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,A3,M2,,0.9902597402597403,8.0,12.0
1232.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,154.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,1.0,12.0,16.0
24.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,4.0,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,C,zC,1.0,2.0,C4,P4,P4,0.023076923076923078,24.0,16.0
40.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,6.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,C,CTb,1.0,4.0,A3,M2,P4,0.038461538461538464,16.0,11.0
51.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,7.0,2.5,T-2c-2,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,3.0,D3,-P4,,0.04903846153846154,11.0,25.0
76.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,10.0,3.0,C1b,^C(1|3)b$,Evaded Authentic,G,Cb,1.0,3.0,E4,M6,P8,0.07307692307692308,25.0,28.0
104.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,14.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,C,Cb,1.0,3.0,A3,M2,P4,0.1,28.0,40.0
144.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,19.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C4,P4,P4,0.13846153846153847,40.0,20.0
164.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,21.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C4,P4,P4,0.1576923076923077,20.0,44.0
208.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,27.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,0.2,44.0,52.0
260.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,32.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,3.0,A3,M2,M2,0.25,52.0,36.0
296.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,37.0,1.0,Bc5,^Bc5z?$,Evaded Authentic,,cB,-1.0,3.0,D3,-P4,,0.2846153846153846,36.0,12.0
308.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,38.0,3.0,C2T-2x,^C(2|4)T-2x?z?$,Clausula Vera,A,CTx,0.0,2.0,A3,M2,M2,0.29615384615384616,12.0,28.0
336.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,42.0,1.0,T-2c-1,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,3.0,B3,M3,,0.3230769230769231,28.0,20.0
356.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,44.0,3.0,T-1a,T-1a,,,aT,,3.0,B3,M3,,0.3423076923076923,20.0,12.0
368.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,46.0,1.0,C2u-2z,C2u-2z,,D,Czu,,2.0,F3,-M2,P5,0.35384615384615387,12.0,8.0
376.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,47.0,1.0,C2x,^C(2|4)xz?$,Abandoned Authentic,D,Cx,0.0,2.0,D4,P5,P5,0.36153846153846153,8.0,20.0
396.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,49.0,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,3.0,C3,-P5,,0.38076923076923075,20.0,8.0
