filename,title,author,date,date_start,date_end,citation
PSAL1562_TEXT.html,To the Reader,Thomas Sternhold,1562,1500,1599,"Thomas Sternhold and John Hopkins, The Whole Booke of Psalmes, collected into Englysh Metre (London: Iohn Day, 1562) [STC 2430], sig. [Tau]iir-[Tau]viir; see also Bernarr Rainbow, English Psalmody Prefaces: Popular Methods of Teaching 1562-1835 (Kilkenny: Boethius Press, 1982), 28-38. Graphics: PSAL1562 01GF-PSAL1562 02GF"
CHORLAM4_TEXT.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"Francis Lee Utley, ""The Choristers' Lament,"" Speculum 21 (1946): 194-202 at 196-97. Used by permission. Ed. from: London, British Library, Arundel 292, ff. 70v-71r."
MOR1597A_TEXT.html,"A Plaine and Easie Introduction to Practicall Musicke, First Part",Thomas Morley,1597,1500,1599,"Thomas Morley, A Plaine and Easie Introduction to Practicall Musicke (London: Peter Short, 1597) [STC 18133], ff. A1r-Bv, pp. 1-68 Graphics: MOR1597A 01GF-MOR1597A 52GF"
DEEPRE_TEXT.html,"""The Mathematical Preface"" (excerpt)",John Dee,1570,1500,1599,"Euclid, The elements of geometrie, trans. Henry Billingsley, with a preface by John Dee (London: J. Daye, 1570) [STC 10560], sig. bijv-biijr; see also the facs. of the preface reproduced as an insert in John Dee, The Mathematicall Praeface to the Elements of Geometrie of Euclid of Megara (1570), with an introduction by Allen G. Debus (New York: Science History Publications, 1975)."
DEPRPC3_TEXT.html,On the three manners of proportions,Anonymous,15th century,1400,1499,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:251-52."
POWERTR2_TEXT.html,Treatise upon the Gamme,Leonel Power,15th century,1400,1499,"Sanford B. Meech, ""Three Musical Treatises in English From a Fifteenth-Century Manuscript,"" Speculum 10 (1935): 235-69 at 242-58. Used by permission. Graphics: POWERTR2 01GF-POWERTR2 07GF Ed. from: London, British Library, Lansdowne 763, ff. 105v-113r."
CHORLAM3_TEXT.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"Thomas Wright and James O. Halliwell, eds., Reliquiae Antiquae: scraps from ancient manuscripts, illustrating chiefly early English literature and the English language, 2 vols. (London: J. R. Smith, 1845), 1:291-92. Ed. from: London, British Library, Arundel 292, ff. 70v-71r."
CANTROS_TEXT.html,Rosarium theologie (excerpt),Anonymous,15th century,1400,1499,"Bruce W. Holsinger, ""The Vision of Music in a Lollard Florilegium: Cantus in the Middle English Rosarium theologie (Cambridge, Gonville and Caius College MS 354/581),"" Plainsong and Medieval Music 8, no. 2 (1999): 95-106 at 103-5. Reprinted with the permission of Cambridge University Press. Ed. from: Cambridge, Gonville and Caius College, 354/581, f. 19r-v."
DEPRPA2_TEXT.html,On the nature of proportions,Anonymous,15th century,1400,1499,"Sanford B. Meech, ""Three Musical Treatises in English From a Fifteenth- Century Manuscript,"" Speculum 10 (1935): 235-69 at 265-66. Used by permission. Ed. from: London, British Library, Lansdowne 763, ff. 117r-118v."
ITESTO2_TEXT.html,It is to wyte,Anonymous,15th century,1400,1499,"Manfred Bukofzer, Geschichte des englischen Diskants und des Fauxbourdons nach den theoretischen Quellen, Sammlung musikwissenschaftlicher Abhandlungen, Band 21 (Strassbourg: Heitz, 1936), 137-38. Ed. from: London, British Library, Additional 21455, f. 9r."
DEPRPB1_MLBLL763.html,On the denominations of proportions,Anonymous,15th century,1400,1499,"London, British Library, Lansdowne 763, ff. 118v-120r. Graphics: DEPRPB1 01GF-DEPRPB1 02GF"
LANTLIT_TEXT.html,The Lantern of Light (excerpt),Anonymous,15th century,1400,1499,"Lilian M. Swinburn, ed., The Lanterne of Lizt, edited from Ms. Harl. 2324, Early English Text Society, orig. ser. 151 (London: Oxford University Press, 1917), 57-59. By permission of Oxford University Press. Ed. from: London, British Library, Harley 2324, ff. 54v-56v"
BARTREV1_TEXT.html,"On the Properties of Things, Book XIX, Cap. CXXXI-CXLV",trans. John Trevisa Bartholomaeus Anglicus,14th century,1300,1399,"Michael Seymour, gen. ed., On the Properties of Things: John Trevisa's translation of Bartholomaeus Anglicus De Proprietatibus Rerum, A Critical Text, 3 vols. (Oxford: Clarendon Press, 1975-1988), 2:1386-1395. By permission of Oxford University Press. Ed. from: London, British Library, Additional 27944, ff. 333r-335v"
LECPROV1_MLBLR18.html,Leconfield Proverbs,Anonymous,16th century,1500,1599,"London, British Library, Royal 18. D. II, ff. 198r-199v."
DEPRPC1B_MLBLL763.html,On the three manners of proportions,"Anonymous (""secundum Chilston"")",15th century,1400,1499,"London, British Library, Lansdowne 763, ff. 120v-122v."
OFPRELA_TEXT.html,Of Prelates (two excerpts),John Wycliffe,14th century,1300,1399,"Frederic D. Matthews, ed., The English Works of Wyclif Hitherto Unprinted, Early English Text Society, orig. ser. 74 (London: Trübner, 1880), 52-107 at 76-77, 90-91. Ed. from: Cambridge, Corpus Christi College, 290, 81-82, 92"
POWERTR4_TEXT.html,Treatise upon the Gamme,Leonel Power,15th century,1400,1499,"Thrasybulos Georgiades, Englische Diskanttraktate aus der ersten Hälfte des 15. Jahrhunderts: Untersuchungen zur Entwicklung der Mehrstimmigkeit im Mittelalter, Schriftenreihe des Musikwissenschaftlichen Seminars der Universität München, Band 3 (Selbstverlag und Auslieferung: Musikwissenschaftliches Seminar der Universität München, 1937), 12-23. Graphics: POWERTR4 01GF-POWERTR4 07GF Ed. from: London, British Library, Lansdowne 763, ff. 105v-113r."
CHORLAM5_TEXT.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"Celia Sisam and Kenneth Sisam, eds., The Oxford Book of Medieval English Verse (Oxford: Clarendon Press, 1970), 184-87. By permission of Oxford University Press. Ed. from: London, British Library, Arundel 292, ff. 70v-71r."
ANOPRAIM_TEXT.html,The Praise of Musicke,Anonymous [John Case?],1586,1500,1599,"Anonymous [John Case?], The Praise of Musicke (Oxford: Joseph Barnes, 1586; reprint ed., Hildesheim: Olms, 1980) [STC 4757]."
CORNPAR2_MLBLH43.html,A Treatise between Information and Truth,William Cornysh,16th century,1500,1599,"London, British Library, Harley 43, ff. 88r-91r."
BATHBISS_TEXT.html,A Briefe Introduction to the Skill of Song,William Bathe,1596,1500,1599,"William Bathe, A Briefe Introduction to the Skill of Song (London: Thomas Este, n.d. [ca. 1596]; reprint ed., with intro. by Bernarr Rainbow, Kilkenny: Boethius Press, 1982) [STC 1589]. Graphics: BATHBISS 01GF-20GF"
PSAL1572_TEXT.html,To the Reader,Thomas Sternhold,1572,1500,1599,"Thomas Sternhold and John Hopkins, The Whole Booke of Psalmes, Collected into Englishe Metre by Thomas Sternhold, Iohn Hopkins and Others, Conferred with the Ebrue, with apt Notes to sing them withall (London: John Daye, 1572) [STC 2442], sig. Aiv; see also Bernarr Rainbow, English Psalmody Prefaces: Popular Methods of Teaching 1562-1835 (Kilkenny: Boethius Press, 1982), 40. Graphic: PSAL1572 01GF"
BARTREV2_TEXT.html,"On the Properties of Things, Liber XIX, Cap. CXXX-CXLV",trans. John Trevisa Bartholomaeus Anglicus,1495,1400,1499,"Bartholomeus Anglicus, Bartholomeus de proprietatibus rerum, trans. John Trevisa and rev. Wynkyn de Worde (London: Wynkyn de Worde, 1495) [STC 1536], sig. nn.iijr, nn.iiijr-oo.iijv."
HEREBEG2_TEXT.html,A short treatise of the rule of discant,Anonymous,15th century,1400,1499,"Manfred Bukofzer, Geschichte des englischen Diskants und des Fauxbourdons nach den theoretischen Quellen, Sammlung musikwissenschaftlicher Abhandlungen, Band 21 (Strassbourg: Heitz, 1936), 143-46. Ed. from: Cambridge, Corpus Christi College, 410/II."
DEPRPA1B_MLBLL763.html,On the nature of proportions,Anonymous,15th century,1400,1499,"London, British Library, Lansdowne 763, ff. 117r-118v."
LECPROV2_TEXT.html,Leconfield Proverbs,Anonymous,16th century,1500,1599,"Francis Grose et al., eds., The Antiquarian Repertory, rev. ed., 4 vols. (London: Edward Jeffery, 1807-1809), 4:405-9."
CORNPAR3_TEXT.html,A Treatise between Information and Truth,William Cornysh,1568,1500,1599,"John Skelton, Pithy Pleasaunt and Profitable workes of maister Skelton, Poete Laureate. Nowe collected and newly published (London: Thomas Marshe, 1568; reprint ed., Menston, Yorks.: Scolar Press, 1970) [STC 22608] [no pagination; here assigned 1*-6*]."
BATHBITA_TEXT.html,A Brief Introduction to the True Art of Music,William Bathe,16th century,1500,1599,"William Bathe, A Brief Introduction to the True Art of Music, ed. Cecil Hill, Critical Texts, no. 10 (Colorado Springs: Colorado College Music Press, 1979), 1-23. Used by permission. Ed. from: Aberdeen University Library, 28 (Andrew Melville's commonplace book) Graphics: BATHBITA 01GF-BATHBITA 02GF"
CORNPAR1_MLBLR18.html,A Treatise between Information and Truth,William Cornysh,16th century,1500,1599,"London, British Library, Royal 18. D. II, ff. 163r-164r."
DEPRPB2_TEXT.html,On the denominations of proportions,Anonymous,15th century,1400,1499,"Sanford B. Meech, ""Three Musical Treatises in English From a Fifteenth-Century Manuscript,"" Speculum 10 (1935): 235-69 at 266-68. Used by permission. Graphics: DEPRPB2 01GF-DEPRPB2 02GF Ed. from: London, British Library, Lansdowne 763, ff. 118v-120r."
CHORLAM6_TEXT.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"Bruce Holsinger, ""Langland's Musical Reader: Liturgy, Law, and the Constraints of Performance,"" Studies in the Age of Chaucer 21 (1999): 99-141, at 137-38. By permission. Ed. from: London, British Library, Arundel 292, ff. 70v-71r"
MOR1597C_TEXT.html,"A Plaine and Easie Introduction to Practicall Musicke, Third 
Part",Thomas Morley,1597,1500,1599,"Thomas Morley, A Plaine and Easie Introduction to Practicall Musicke (London: Peter Short, 1597) [STC 18133], pp. 116-83, ff. Bb1r-Bb6v Graphics: MOR1597C 01GF-MOR1597C 52GF"
DEPRPC1C_MDTC516.html,On the three manners of proportions,Anonymous,15th century,1400,1499,"Dublin, Trinity College, 516, ff. 129v-131v"
SKELJAP2_TEXT.html,Of a comly Coystroune,John Skelton,1568,1500,1599,"John Skelton, Pithy Pleasaunt and Profitable workes of maister Skelton, Poete Laureate. Nowe collected and newly published (London: Thomas Marshe, 1568; reprint ed., Menston, Yorks.: Scolar Press, 1970) [STC 22608] [no pagination; here assigned 1*-3*]."
CORNPAR5_TEXT.html,A Treatise between Information and Truth,William Cornysh,16th century,1500,1599,"Ewald Flügel, ""Kleine Mitteilungen aus Handschriften,"" Anglia 14 (1892): 463-501 at 467-71."
ORDPRIE_TEXT.html,The Order of Priesthood (excerpt),John Wycliffe,14th century,1300,1399,"Frederic D. Matthews, ed., The English Works of Wyclif Hitherto Unprinted, Early English Text Society, orig. ser. 74 (London: Trübner, 1880), 164-79 at 169-70. Ed. from: Cambridge, Corpus Christi College, 290, 138-39"
LECPROV4_TEXT.html,Leconfield Proverbs,Anonymous,16th century,1500,1599,"Philip Wilson, ed., The Musicall Prouerbis in the Garet at the New Lodge in the Parke of Lekingfelde (London: Humphrey Milford at the Oxford University Press, 1924) [no pagination; here assigned 1*-8*]. By permission of Oxford University Press."
BARTREV4_TEXT.html,"On the Properties of Things, Liber XIX, Cap. 134-149",trans. John Trevisa Bartholomaeus Anglicus,1582,1500,1599,"Bartholomaeus Anglicus, Batman vppon Bartholome His Booke De Proprietatibus Rerum, trans. John Trevisa and rev. Stephen Batman (London: Thomas East, 1582; reprint ed., Hildesheim: Olms, 1976) [STC 1538], ff. 421v-426r."
HEREFOL3_TEXT.html,A little treatise on discant,Anonymous,15th century,1400,1499,"Manfred Bukofzer, Geschichte des englischen Diskants und des Fauxbourdons nach den theoretischen Quellen, Sammlung musikwissenschaftlicher Abhandlungen, Band 21 (Strassbourg: Heitz, 1936), 146-53. Graphics: HEREFOL3 01GF Ed. from: London, British Library, Lansdowne 763, ff. 113v-116v."
ITESTO1_MLBL2145.html,It es to wyte,Anonymous,15th century,1400,1499,"London, British Library, Additional 21455, f. 9r."
MOR1597D_TEXT.html,"A Plaine and Easie Introduction to Practicall Musicke, End 
Matter",Thomas Morley,1597,1500,1599,"Thomas Morley, A Plaine and Easie Introduction to Practicall Musicke (London: Peter Short, 1597) [STC 18133], ff. G1r-(:.)4v Graphics: MOR1597D 01GF-MOR1597D 10GF [Note: the folio sign represented as G is not G but a paragraph symbol, and the sign represented as (:.) is really a little triangle of dots.]"
POWERTR1_MLBLL763.html,Treatise upon the Gamme,Leonel Power,15th century,1400,1499,"London, British Library, Lansdowne 763, ff. 105v-113r. Graphics: POWERTR1 01GF-POWERTR1 14GF"
RAVBD_TEXT.html,A Briefe Discourse,Thomas Ravenscroft,1614,1600,1699,"Thomas Ravenscroft, A BRIEFE DISCOVRSE Of the true (but neglected) vse of Charactering the Degrees by their Perfection, Imperfection, and Diminution in Measurable Musicke, against the Common Practise and Custome of these Times (London: Edward Allde for Thomas Adams, 1614; reprint ed., with an introduction by Ian Payne, Clarabricken, Kilkenny, Ireland: Boethius Press, 1984) [STC 20756]. Graphics: RAVBD 01GF-RAVBD 59GF"
HEREFOL4_TEXT.html,A little treatise on discant,Anonymous,15th century,1400,1499,"Thrasybulos Georgiades, Englische Diskanttraktate aus der ersten Hälfte des 15. Jahrhunderts: Untersuchungen zur Entwicklung der Mehrstimmigkeit im Mittelalter, Schriftenreihe des Musikwissenschaftlichen Seminars der Universität München, Band 3 (Selbstverlag und Auslieferung: Musikwissenschaftliches Seminar der Universität München, 1937), 23-27. Graphics: HEREFOL4 01GF Ed. from: London, British Library, Lansdowne 763, 113v-116v."
LECPROV3_TEXT.html,Leconfield Proverbs,Anonymous,16th century,1500,1599,"Ewald Flügel, ""Kleine Mitteilungen aus Handschriften,"" Anglia 14 (1892): 463-501 at 477-80."
COURSAP1_TEXT.html,Court of Sapience (excerpt),Anonymous,1480,1400,1499,"E. Ruth Harvey, ed., The Court of Sapience (Toronto: University of Toronto Press, 1984), 68-71. Used by permission of the University of Toronto Press. Ed. from: William Caxton's printed edition (Westminster, ca. 1480-1483) [STC 17015]"
OPINRC1_MOBB842.html,Opinio ricardi cutell,Richard Cutell,15th century,1400,1499,"Oxford, Bodleian Library, Bodley 842, f. 48r-v."
DEPRPA1C_MDTC516.html,On the nature of proportions,Anonymous,15th century,1400,1499,"Dublin, Trinity College, 516, f. 129r-v"
DEPRPC1A_MNYPMB12.html,On the three manners of proportions,"Anonymous (""secundum Chilston"")",15th century,1400,1499,"New York, The Pierpont Morgan Library, B.12, ff. 65r-68v. Used by permission. Graphics: DEPRPC1A 01GF"
HAWESPP1_TEXT.html,The Pastime of Pleasure (excerpt),Stephen Hawes,1517,1500,1599,"Stephen Hawes, The Pastime of Pleasure (London: Wynkyn de Worde, 1517) [STC 12949], ff.Evir-Eviiir; reprint in The Works of Stephen Hawes: Facsimile Reproductions with an Introduction by Frank J. Spang (Delmar, New York: Scholar's Facsimiles and Reprints, 1975), 59-63."
TUCKE_MLBLA103.html,On colors in music,Anonymous,16th century,1500,1599,"London, British Library, Additional 10366, ff. 97v-98r, 106v."
MOR1597B_TEXT.html,"A Plaine and Easie Introduction to Practicall Musicke, Second 
Part",Thomas Morley,1597,1500,1599,"Thomas Morley, A Plaine and Easie Introduction to Practicall Musicke (London: Peter Short, 1597) [STC 18133], pp. 69-115 Graphics: MOR1597B 01GF-MOR1597B 28GF"
DEPRPB3_TEXT.html,On the denominations of proportions,Anonymous,15th century,1400,1499,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:251."
SKELJAP3_TEXT.html,Of a comly Coystroune,John Skelton,16th century,1500,1599,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:378-79."
OPINRC2_TEXT.html,Opinio ricardi cutell,Richard Cutell,15th century,1400,1499,"Manfred Bukofzer, Geschichte des englischen Diskants und des Fauxbourdons nach den theoretischen Quellen, Sammlung musikwissenschaftlicher Abhandlungen, Band 21 (Strassbourg: Heitz, 1936), 141-43. Ed. from: Oxford, Bodleian Library, Bodley 842, f. 48r-v."
FEIGNCON_TEXT.html,Of Feigned Contemplative Life (exerpt),John Wycliffe,14th century,1300,1399,"Frederic D. Matthews, ed., The English Works of Wyclif Hitherto Unprinted, Early English Text Society, orig. ser. 74 (London: Trübner, 1880), 187-96 at 191-92. Ed. from: Cambridge, Corpus Christi College, 290, 167-68"
CORNPAR4_TEXT.html,A Treatise between Information and Truth,William Cornysh,16th century,1500,1599,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:353-54."
BARTREV5_TEXT.html,On the Properties of Things (excerpt),trans. John Trevisa Bartholomaeus Anglicus,14th century,1300,1399,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:267-71."
HEREFOL2_TEXT.html,A little treatise on discant,Anonymous,15th century,1400,1499,"Sanford B. Meech, ""Three Musical Treatises in English From a Fifteenth-Century Manuscript,"" Speculum 10 (1935): 235-69 at 258-65. Used by permission. Graphics: HEREFOL2 01GF Ed. from: London, British Library, Lansdowne 763, ff. 113v-116v."
HEREFOL1_MLBLL763.html,A little treatise on discant,Anonymous,15th century,1400,1499,"London, British Library, Lansdowne 763, ff. 113v-116v. Graphics: HEREFOL1 01GF"
